,Year,Electricity,Short tons,Y3,X1,Workers,Heat content of coal,Heat content of oil,Head content of gas,F1,F2,Phase I
3297,85,3133120000,29882.19,13539.95,125659089,89,3.13E+13,2.79E+11,0,15703.81,14.318633,0
3497,85,6330736000,40378.96,17498.61,173176633,256,6.97E+13,0,5.59E+11,26794.92,0,0
3644,85,488829000,2547.1,1834.02,55825554,108,5.75E+12,29400000000,0,1340.13,2.232635,0
3775,85,3610499000,18485.07,14467.68,163309958,174,3.41E+13,43911348600,0,9771.73,1.116318,0
3776,85,1317808000,9220.61,5781.24,132185752,131,1.31E+13,2.07E+11,0,4851.44,5.298787,0
3788,85,2392297000,15589.83,7489.55,176454127,206,2.57E+13,2.16E+11,0,8192.98,8.603087,0
3796,85,1058480000,7272.27,4870.25,86831307,131,1.10E+13,70560000000,0,3823.7,3.572216,0
3936,85,1378300000,8395.31,6435.47,133056759,132,1.34E+13,30786756000,0,4431.48,5.522051,0
3945,85,397881000,3884.13,2225.82,77636453,83,5.09E+12,18950400000,0,2042.22,0.904961,0
3946,85,903630000,9577.73,6144.31,82349215,80,9.83E+12,22503600000,0,5030.26,1.696803,0
3947,85,4642436000,153631.94,31336.7,178702887,247,4.51E+13,18089395800,0,80840.95,0.305127,0
3948,85,8454774000,100404.92,37857.19,334686021,259,8.29E+13,3.51E+11,0,52933.66,4.533738,0
4054,85,1074393000,25019.67,8933.15,50712346,61,1.10E+13,592368000,0,13164.72,0.044653,0
4072,85,1030130000,22416.85,5573.06,113742150,160,1.18E+13,93895200000,0,11780.35,4.822492,0
4158,85,4881023000,29044.78,27750.8,212978401,308,5.55E+13,1.09E+11,0,16599.61,8.394708,0
4162,85,3996256000,18508.38,15854.62,177091090,255,4.06E+13,55860046200,1.27E+11,14383.1,4.228611,0
6002,85,4792413000,21532.24,14551.23,361714701,330,4.69E+13,5.32E+11,0,11313.6,18.356725,0
6004,85,7189766000,35138.15,26896.67,408308525,257,7.21E+13,2.29E+11,0,81953.65,10.916097,0
6016,85,1944859000,8564.31,7328.03,158517044,114,2.01E+13,24080893200,0,32160.7,1.000221,0
6017,85,4303296000,13831.27,9944.55,345844371,243,4.37E+13,1.37E+11,0,35830.32,5.667916,0
6095,85,4675830000,14257.56,20366.97,219900440,264,4.85E+13,21508456200,0,8145.9,1.107387,0
6139,85,7848961000,34019.23,54971.93,213264832,132,8.08E+13,1.62E+11,0,19434.8,4.108049,0
6146,85,13856839000,38152.61,41954.82,431958781,700,1.57E+14,5.37E+11,0,87748.37,68.988423,0
6147,85,13159790000,81727.7,42454.31,320580087,528,1.48E+14,5.41E+11,0,66157.47,69.509372,0
6155,85,5899148000,58019.9,20647.14,248868032,270,5.78E+13,64444800000,0,30425.16,8.335171,0
6178,85,4002559000,11757.59,12845.33,132003558,121,3.76E+13,44368800000,0,6163.92,1.131202,0
6193,85,6895029000,20399.48,29166.31,193287532,165,6.94E+13,0,2.81E+11,11656.8,0,0
6248,85,3007481000,11548.75,21047.17,203859974,123,3.20E+13,97338192000,0,6502.84,7.590959,0
6264,85,7073740000,30198.94,20395.39,318240693,247,6.64E+13,2.46E+11,0,15880.8,12.681367,0
8042,85,11472489000,72843.03,45766.97,272082853,182,1.04E+14,1.69E+11,0,38365.39,8.662624,0
8102,85,12241363000,355523.62,60190.18,486415851,365,1.24E+14,1.93E+11,0,187084.26,15.400717,0
8226,85,3205023000,40985.83,9905.16,169815462,161,3.24E+13,1.51E+11,0,21629.96,3.563286,0
,,,,,,,,,,,,
3,86,9293690000,53625.56,28224.71 3,50475117.71,455,9.00E+13,47417302800,6.86E+11,28298.37,3.535006,0
8,86,7094660000,70894.71,23788.94 3,31892954.6,541,7.49E+13,1.27E+11,0,37291.27,6.444873,0
470,86,3442728000,12151.81,15985.79 1,68000210.49,110,3.56E+13,84801297000,15830100000,6925.96,8.970728,0
602,86,3527121000,18768.65,10833.53,225440242.6,120,3.57E+13,1.84E+11,0,9838.5,6.605623,0
641,86,3606155000,85072.3,16284.71 2,62380421.25,226,3.80E+13,30458400000,9.26E+11,44743.29,10.939912,0
708,86,4987171000,67550.2,22809.24 1,82100681.93,306,5.20E+13,71870400000,0,35597.2,3.506725,0
709,86,9816280000,104110.39,47094.19 2,98978496.78,476,1.06E+14,49320600000,0,54825.73,6.325799,0
728,86,6357822000,127545.64,21583.77 2,87177202.33,439,6.68E+13,89905200000,0,67058.67,4.584344,0
856,86,3451566000,22269,14394.58 1,86006632.34,153,3.40E+13,37670829000,0,11691.05,2.356174,0
861,86,3752825000,136397.12,31885.77,219609504.5,290,4.05E+13,32017330800,0,71723.24,1.0672,0
862,86,729880500,18221.24,3783.80 8,8092714.345,102,7.90E+12,10451322000,0,9591.26,0.398897,0
863,86,1023992500,23714.63,3661.96 6,8170325.376,93,1.08E+13,13701139200,0,12471.42,0.552205,0
864,86,1307216900,30111.24,4476.78 1,32947281.2,147,1.31E+13,1.70E+11,0,15862.7,7.863341,0
876,86,4976267000,171637.09,44489.74 2,65919434.51,333,5.54E+13,0,75589700000,90308.34,0,0
879,86,5183356000,27256.28,26493.28 5,69143889.45,417,5.90E+13,0,1.13E+11,15575,0,0
887,86,5261067000,88927.97,17769.16 3,64402140.81,363,5.51E+13,36429334200,0,46828.76,2.156725,0
889,86,10312760300,260287.25,64590.32 3,46279728.66,266,1.04E+14,1.03E+11,0,136933.95,5.23925,0
983,86,9733628000,264459.55,65205.05 3,42326565.04,389,9.50E+13,13708800000,0,139170.77,1.071665,0
988,86,3685694000,62700.34,21311.19 3,29595307.91,325,3.53E+13,2.02E+11,0,33037.78,16.828115,0
991,86,594135000,14865.37,2231.17 1,11942125.59,95,6.69E+12,54877200000,0,7818.56,4.197354,0
994,86,8450035000,103936.9,26941.90 5,46807091.09,324,8.90E+13,1.65E+11,0,99008.01,12.636714,0
1004,86,58946500,1693.16,398.40 6,5574795.516,73,7.86E+11,14960400000,0,890.18,1.16097,0
1008,86,1441707600,40460.63,7479.15 1,43860537.5,163,1.57E+13,1.41E+11,0,21291.93,10.939912,0
